card-id,cardRarity,cardUrl,discordCachedUrl,GroupMember,GroupName,Theme,version
TSXYGSC,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/tripleS/TSXYGSC.png,https://media.discordapp.net/attachments/1275225745370775674/1275783158901641253/card-image.jpg?ex=66c72527&is=66c5d3a7&hm=dedc01eee672c760a2dff35d00c0f99c1bace061093a7b177e4f62e677e8c74a&,Xinyu,tripleS,Girls' Capitalism,1
Sunwoo,4,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/customs/royal_rat_6.png,https://media.discordapp.net/attachments/1275220609869021195/1275275101331521617/card-image.jpg?ex=66c54bfd&is=66c3fa7d&hm=aa3a8079db9042432b748fe7bdaa1323b0b5a494e40fa93277493c6542f7e1a1&,Sunwoo,THE BOYZ,Royal Ball,1
AOJMBGL,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/AOA/AOJMBGL.png,https://media.discordapp.net/attachments/1255531443636011040/1275643458610003988/card-image.jpg?ex=66c6a30c&is=66c5518c&hm=e482c2d780393406269d2d2057fa5b6fc06c5e24cf812f212c5e5a41dc3a3574&,Jimin,AOA,Bingle Bangle,1
TNHWINU,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/TNX/TNHWINU.png,https://media.discordapp.net/attachments/1275225745370775674/1275826813612064818/card-image.jpg?ex=66c74dd0&is=66c5fc50&hm=c77de57602fb86fe29a29c84f6640f5f88f724c3262310b19cf456b11c7d6e9f&,Hwi,TNX,I Need U,1
IZHTPOR,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/IZ*ONE/IZHTPOR.png,https://media.discordapp.net/attachments/1255320496984297583/1275806730667823210/card-image.jpg?ex=66c73b1b&is=66c5e99b&hm=68b0e04160695b2bb03fdbf4b5e675ed39b2661aacdb8642fd3e50c1180c327a&,Hitomi,IZ*ONE,PANORAMA,1
KPYGSTS,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Kep1er/KPYGSTS.png,https://media.discordapp.net/attachments/1275220609869021195/1275700761711480873/card-image.jpg?ex=66c6d86a&is=66c586ea&hm=cbce3247f57cc110afb369fa70f3b998b3b7dc4f28d214ed2d5d98c4e1afd401&,Youngeun,Kep1er,Shooting Star,1
DCHDBCS,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Dreamcatcher/DCHDBCS.png,https://media.discordapp.net/attachments/1275220609869021195/1275831646473425018/card-image.jpg?ex=66c75250&is=66c600d0&hm=51b91b23243b56aff84097cfed8365aabc39ee582ae5d5907d2a8fdb885303e6&,Handong,Dreamcatcher,BEcause,1
BVVNBVN,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/BADVILLAIN/BVVNBVN.png,https://media.discordapp.net/attachments/1275225745370775674/1275731075749908541/card-image.jpg?ex=66c6f4a6&is=66c5a326&hm=cec35d19627a014adc3a12e1af17611bf8d630886003aafc88be92adfdcb5561&,Vin,BADVILLAIN,BADVILLAIN,1
TSHYGSC,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/tripleS/TSHYGSC.png,https://media.discordapp.net/attachments/1255320259070791690/1275737155754393611/card-image.jpg?ex=66c6fa4f&is=66c5a8cf&hm=04f9c39887427bc4187a44d44290cfdb3e012df933a75c2ee18213e065bde00d&,Hyerin,tripleS,Girls' Capitalism,1
TNJHINU,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/TNX/TPJHINU.png,https://media.discordapp.net/attachments/1275225745370775674/1275800389211525210/card-image.jpg?ex=66c73534&is=66c5e3b4&hm=fdd68ba536716a073767a960d96187d1f0d43cd40e947a30ee35f8cea539d45e&,Junhyeok,TNX,I Need U,1
